time_s,ers_H,ers_M,ers_Lharvest,ers_Lderate,most_likely_ers,most_likely_override,most_likely_tyre,true_SOC,true_temperature_C,true_voltage_V,true_current_A,true_ers,brier
65.0,0.0254357148185043,0.6145498880230253,0.0805845653830649,0.2794298317754053,M,available,moderate,0.2194651376124,364.876944791468,677.972051363006,-169.247385345687,M,0.23379366747539937
66.0,0.0289103425475862,0.6165736578598217,0.0798045518168418,0.2747114477757503,M,available,moderate,0.210270822885289,365.77463682237,650.622067370528,-193.528425400597,M,0.22968671378295163
67.0,0.0343730299272165,0.6394299306753337,0.0769818398342471,0.2492151995632025,M,available,moderate,0.199394644351213,367.029611678384,615.492472119797,-224.890163206202,M,0.1992266994367645
68.0,0.0404847045427418,0.6723619371304472,0.0727481595546453,0.2144051987721657,M,available,moderate,0.188837455570436,368.268738208062,637.725647672979,-203.512758044293,M,0.16024759552194612
69.0,0.0465697478866725,0.7080720830331757,0.0675572607645399,0.1778009083156118,M,available,moderate,0.17810499842545,369.507477323188,649.312571558414,-191.880159396373,M,0.12356779660268194
70.0,0.0522469030824976,0.7417864602878828,0.061901295803339,0.1440653408262805,M,available,moderate,0.168199401813119,370.49169208393,673.169945743208,-168.943694411732,M,0.09399056382189788
71.0,0.0573299980896877,0.7708275818711284,0.0562613767641861,0.1155810432749977,M,available,moderate,0.159339891231667,371.328385379031,671.36552851827,-169.792752843768,M,0.07233104599193653
72.0,0.0617740073580499,0.794183011810157,0.0510184595403514,0.0930245212914415,M,available,moderate,0.150403341279561,372.180629535515,668.86972483873,-171.277661322279,M,0.057433105387982686
73.0,0.065623433962196,0.8119746547998724,0.0464067805938727,0.0759951306440589,M,available,moderate,0.14115063374362,373.043295628307,705.525591283557,-136.402606262532,M,0.047588814689313266
74.0,0.0689658256541984,0.8249393637084705,0.0425197064762914,0.0635751041610396,M,available,moderate,0.136371807559944,373.311784054425,832.999113086717,-17.5503257432599,M,0.04125223079487746
75.0,0.0713271015577806,0.8347273396073681,0.0338001958961519,0.0601453629386993,M,spent,moderate,0.139479164225465,373.710696381943,1151.27330620012,277.538353352445,Lharvest,1.6390168130379705
76.0,0.0728425124748338,0.8409208947055462,0.0287695160518124,0.0574670767678075,M,spent,moderate,0.156879768427162,377.211759916766,1011.34016879558,145.219084127152,Lharvest,1.6590451006384903
77.0,0.0737559463907822,0.8445850711706823,0.0306186592393746,0.0510403231991609,M,spent,moderate,0.158988875248248,377.30194190916,854.767654564844,0.0,M,0.033136356616913575
78.0,0.0743454305092919,0.8468596113894202,0.031741772785868,0.0470531853154196,M,spent,moderate,0.155740085754251,377.442359247442,730.699163238198,-114.512930504534,M,0.03220076404932823
79.0,0.0712423600793022,0.8471766786975419,0.0336131954653348,0.0479677657578209,M,spent,moderate,0.14663778617293,378.271940647328,665.533122788106,-174.023359488753,M,0.03186119486477128
80.0,0.0662483330264521,0.8460773219838248,0.0359330365394343,0.0517413084502888,M,spent,moderate,0.135959980726729,379.475438554372,648.129413003376,-189.202227335559,M,0.032049378551547096
81.0,0.0637914687024576,0.8457591714040312,0.0370916548388993,0.0533577050546118,M,available,moderate,0.126533851908115,380.508010633823,642.820635317396,-193.290043468843,M,0.03208242023257063
82.0,0.0629032987181058,0.8460794753971329,0.0374768448370865,0.0535403810476746,M,available,moderate,0.113949011279197,382.062951270639,634.568613426157,-199.850292983798,M,0.03191943918531431
83.0,0.0629859398190448,0.8468106638654305,0.0373830103936638,0.0528203859218608,M,available,moderate,0.102725367745371,383.376457314373,597.625887027964,-233.332543562768,M,0.03162168395526555
84.0,0.0636654151414443,0.8477421862236686,0.0370110683656991,0.0515813302691877,M,available,moderate,0.0906731329054958,384.881833731842,615.088044765164,-215.762892670952,Lderate,1.6235878916639517
