time_s,speed_kmh,throttle_pct,brake,gap_s,active_aero,sector,lap,tyre_life
7082.945,316.7656250000032,99.0,0.0,0.250096299722499,0.0,0,19,16.0
7083.945,278.3750000000085,10.687500000004263,1.0,0.27494357142927994,0.0,0,19,16.0
7084.945,191.0,0.7547169811330469,1.0,0.2461990970589712,0.0,0,19,16.0
7085.945,128.85714285715957,0.0,1.0,0.20205068124945436,0.0,0,19,16.0
7086.945,88.57142857142857,0.0,1.0,0.155508537539045,0.0,0,19,16.0
7087.945,74.0,13.39999999999227,0.0,0.14368490643507092,0.0,0,19,16.0
7088.945,75.3500000000034,7.416666666660983,1.0,0.13361647119770756,0.0,0,19,16.0
7089.945,80.87954545453941,39.236363636356195,0.0,0.16495430981573778,0.0,0,19,16.0
7090.945,111.61944444443478,73.63611111110485,0.0,0.2282604702782386,0.0,0,19,16.0
7091.945,162.54317548746263,97.44011142061193,0.0,0.3321176141329831,0.0,0,19,16.0
7092.945,202.28571428571428,99.57142857142857,0.0,0.3868118678703842,0.0,0,19,16.0
7093.945,236.8,100.0,0.0,0.5113170107899319,0.0,0,19,16.0
7094.945,257.0,99.0,0.0,0.5674607340812633,0.0,0,19,16.0
7095.945,275.9699999999939,100.0,0.0,0.5812046623406086,0.0,0,19,16.0
7096.945,285.99722222222164,100.0,0.0,0.595779684850867,0.0,0,19,16.0
7097.945,293.5041666666675,100.0,0.0,0.5857843030809741,0.0,0,19,16.0
7098.945,296.7999999999982,100.0,0.0,0.6864862684052772,0.0,0,19,16.0
7099.945,299.0,100.0,0.0,0.5669838265613023,0.0,0,19,16.0
7100.945,296.4,100.0,0.0,0.5118116264381024,0.0,0,19,16.0
7101.945,300.1083333333328,100.0,0.0,0.47240768194756294,0.0,0,19,16.0
7102.945,305.48749999999745,99.0,0.0,0.4747687801931805,0.0,0,19,16.0
7103.945,299.36388888889513,88.10000000002046,0.0,0.3624838745936142,0.0,1,19,16.0
7104.945,231.89500000001945,0.20500000000102314,1.0,0.33703843542148,0.0,1,19,16.0
7105.945,152.5,0.0,1.0,0.18293913785740373,0.0,1,19,16.0
7106.945,110.0,0.0,1.0,0.1816516047410829,0.0,1,19,16.0
7107.945,100.66666666666667,43.666666666666664,0.0,0.2323792888777261,0.0,1,19,16.0
7108.945,118.97499999999488,57.59999999998636,0.0,0.25211132644191697,0.0,1,19,16.0
7109.945,149.47249999999437,91.46249999999233,0.0,0.2950501491255024,0.0,1,19,16.0
7110.945,181.73124999999615,99.0,0.0,0.3778471049331859,0.0,1,19,16.0
7111.945,198.9972144846791,99.0,0.0,0.41404266843328236,0.0,1,19,16.0
7112.945,213.0,99.0,0.0,0.4370372398634644,0.0,1,19,16.0
7113.945,226.2,87.6,0.0,0.4140183395995626,0.0,1,19,16.0
7114.945,196.0062111801255,11.012422360250973,0.0,0.4156231645047267,0.0,1,19,16.0
7115.945,184.27499999999782,57.32499999997881,0.0,0.4196164557104159,0.0,1,19,16.0
